ALT_GEO_CODE,GEO_NAME,C1_COUNT_2016,C1_COUNT_2021,CHANGE_POP
932,Abbotsford - Mission,180518,195726,15208
410,Alma,30771,30331,-440
481,Amos,18872,18873,1
406,Baie-Comeau,27692,26643,-1049
568,Barrie,197059,212856,15797
328,Bathurst,31110,31387,277
522,Belleville - Quinte West,103401,111184,7783
610,Brandon,51807,54268,2461
543,Brantford,134203,144162,9959
512,Brockville,31200,31661,461
806,Brooks,14451,14924,473
825,Calgary,1392609,1481806,89197
944,Campbell River,37861,40704,2843
330,Campbellton,14679,13330,-1349
13330,Campbellton (New Brunswick part),12047,11986,-61
24330,Campbellton (Quebec part),2632,1344,-1288
833,Camrose,18742,18772,30
828,Canmore,13992,15990,1998
225,Cape Breton,98722,98318,-404
531,Centre Wellington,28191,31093,2902
105,Charlottetown,71821,78858,7037
556,Chatham-Kent,102042,104316,2274
930,Chilliwack,101512,113767,12255
527,Cobourg,19440,20519,1079
567,Collingwood,21793,24811,3018
15,Corner Brook,30969,29762,-1207
501,Cornwall,59699,61415,1716
943,Courtenay,57950,63282,5332
437,Cowansville,13656,15234,1578
905,Cranbrook,26068,27040,972
975,Dawson Creek,18890,17878,-1012
411,Dolbeau-Mistassini,15750,15306,-444
447,Drummondville,97149,101610,4461
937,Duncan,44451,47582,3131
835,Edmonton,1321441,1418118,96677
335,Edmundston,21955,22144,189
582,Elliot Lake,10741,11372,631
563,Essa,21083,22970,1887
750,Estevan,13615,12798,-817
977,Fort St. John,28396,28729,333
320,Fredericton,102690,108610,5920
11,Gander,13234,13414,180
450,Granby,85056,90833,5777
10,Grand Falls-Windsor,14171,13853,-318
850,Grande Prairie,63166,64141,975
580,Greater Sudbury / Grand Sudbury,165958,170605,4647
550,Guelph,151984,165588,13604
205,Halifax,426932,465703,38771
537,Hamilton,747545,785184,37639
502,Hawkesbury,11974,12010,36
35502,Hawkesbury (Ontario part),10263,10194,-69
24502,Hawkesbury (Quebec part),1711,1816,105
821,High River,13594,14324,730
533,Ingersoll,12757,13693,936
456,Joliette,49439,52706,3267
925,Kamloops,103811,114142,10331
530,Kawartha Lakes,75423,79247,3824
915,Kelowna,194892,222162,27270
598,Kenora,15096,14967,-129
210,Kentville,26222,26929,707
521,Kingston,161175,172546,11371
541,Kitchener - Cambridge - Waterloo,523894,575847,51953
468,Lachute,12862,14100,1238
832,Lacombe,13057,13396,339
936,Ladysmith,14572,15501,929
810,Lethbridge,117394,123847,6453
840,Lloydminster,36736,36508,-228
48840,Lloydminster (Alberta part),19645,19739,94
47840,Lloydminster (Saskatchewan part),17091,16769,-322
555,London,494069,543551,49482
403,Matane,18894,18474,-420
805,Medicine Hat,76522,76376,-146
571,Midland,25826,27894,2068
329,Miramichi,27518,27593,75
305,Moncton,144810,157717,12907
462,Montréal,4104074,4291732,187658
715,Moose Jaw,35053,34872,-181
938,Nanaimo,104936,115459,10523
907,Nelson,18307,19119,812
220,New Glasgow,34487,34397,-90
547,Norfolk,64044,67490,3446
735,North Battleford,20052,19374,-678
575,North Bay,70378,71736,1358
820,Okotoks,29016,30405,1389
569,Orillia,31166,33411,2245
532,Oshawa,379848,415311,35463
505,Ottawa - Gatineau,1371576,1488307,116731
35505,Ottawa - Gatineau (Ontario part),1039150,1135014,95864
24505,Ottawa - Gatineau (Quebec part),332426,353293,20867
566,Owen Sound,31820,32712,892
939,Parksville,28922,31054,2132
515,Pembroke,23269,23814,545
913,Penticton,43534,47380,3846
516,Petawawa,17187,18160,973
529,Peterborough,121721,128624,6903
940,Port Alberni,24669,25786,1117
528,Port Hope,16753,17294,541
607,Portage la Prairie,13304,13270,-34
945,Powell River,16783,17825,1042
745,Prince Albert,44160,45718,1558
970,Prince George,86622,89490,2868
955,Prince Rupert,13462,13442,-20
952,Quesnel,23146,23113,-33
421,Québec,806406,839311,32905
830,Red Deer,100418,100844,426
705,Regina,236695,249217,12522
404,Rimouski,53498,53944,446
405,Rivière-du-Loup,28902,30025,1123
485,Rouyn-Noranda,42334,42313,-21
408,Saguenay,161520,161567,47
310,Saint John,126202,130613,4411
428,Saint-Georges,34176,34833,657
452,Saint-Hyacinthe,58201,59980,1779
467,Sainte-Agathe-des-Monts,18010,19892,1882
423,Sainte-Marie,13565,13134,-431
465,Salaberry-de-Valleyfield,40745,42787,2042
920,Salmon Arm,17904,19705,1801
562,Sarnia,96151,97592,1441
725,Saskatoon,295095,317480,22385
590,Sault Ste. Marie,78159,76731,-1428
412,Sept-Îles,28534,27729,-805
444,Shawinigan,49349,49620,271
433,Sherbrooke,212105,227398,15293
454,Sorel-Tracy,41629,41934,305
934,Squamish,19893,24232,4339
539,St. Catharines - Niagara,406074,433604,27530
1,St. John's,208418,212579,4161
605,Steinbach,16022,17806,1784
553,Stratford,31470,33232,1762
826,Strathmore,13756,14339,583
110,Summerside,16831,18157,1326
720,Swift Current,18536,18745,209
831,Sylvan Lake,15302,16514,1212
965,Terrace,19160,19606,446
430,Thetford Mines,27564,28287,723
640,Thompson,13678,13035,-643
595,Thunder Bay,121621,123258,1637
546,Tillsonburg,15872,18615,2743
586,Timmins,41788,41145,-643
535,Toronto,5928040,6202225,274185
910,Trail,14196,14268,72
442,Trois-Rivières,156042,161489,5447
215,Truro,45753,46157,404
480,Val-d'Or,33871,34037,166
933,Vancouver,2463431,2642825,179394
918,Vernon,61324,67086,5762
935,Victoria,367770,397237,29467
440,Victoriaville,51336,52936,1600
565,Wasaga Beach,20675,24862,4187
865,Wetaskiwin,12655,12594,-61
755,Weyburn,12055,12247,192
990,Whitehorse,28225,31913,3688
950,Williams Lake,23113,23608,495
559,Windsor,398718,422630,23912
603,Winkler,30297,32655,2358
602,Winnipeg,783099,834678,51579
860,Wood Buffalo,73325,73837,512
544,Woodstock,41098,46705,5607
995,Yellowknife,19569,20340,771
710,Yorkton,19927,19859,-68
